"","GP","Age","SHTOIP60","SHBlkP60","SHTakeP60","SHPP60","SHGAP60"
"1",82,29,96,6.86,4.57,0,3.66
"2",82,28,171,12.58,0.51,0,5.39
"5",77,28,81,6.93,2.89,2.31,8.08
"9",81,27,113,4.33,3.93,0.79,5.51
"10",79,32,108,8.02,5.06,0,5.49
"11",82,27,106,3.73,1.66,1.66,7.87
"16",66,21,107,4.59,2.04,1.02,7.14
"18",80,28,75,2.4,1.2,0,5.4
"19",57,31,119,4.25,3.18,0,3.18
"20",82,36,211,12.48,0.83,0.42,7.07
"23",74,31,155,4.39,2.2,0.63,6.59
"24",82,27,94,4.2,3.74,2.34,6.07
"25",64,29,116,8.24,0.48,0.48,5.33
"28",80,31,132,3.75,4.09,1.02,7.5
"29",42,28,73,2.35,1.17,0,2.35
"30",51,28,64,4.41,0,0,4.41
"31",71,35,124,4.09,0,0,4.91
"37",64,26,84,4.69,2.01,0.67,4.02
"40",63,28,140,8.16,2.86,0.41,5.31
"41",63,27,141,15.4,0.81,0,10.94
"44",44,26,109,10.51,2.25,1.5,11.26
"46",72,33,194,5.67,1.03,0,5.93
"47",70,32,141,9.12,0.73,0,5.47
"49",76,31,105,7.22,1.35,0.9,8.57
"53",80,29,119,6.81,1.51,0,7.56
"54",70,26,156,4.62,3.96,0.66,11.21
"55",68,23,106,4.5,3.5,0,7.99
"56",76,32,106,6.7,1.79,1.34,4.92
"57",82,31,90,5.85,1.95,0,5.37
"58",82,31,92,2.86,2.86,0.48,7.16
"59",78,26,86,5.9,0.54,1.07,4.83
"62",81,24,121,4.04,1.84,0.37,6.24
"63",82,31,128,7.55,3.43,0.69,6.17
"64",79,35,104,3.07,0.88,0,6.57
"65",81,31,121,5.88,5.14,0.73,5.88
"66",62,27,111,2.62,4.18,2.62,6.8
"67",73,31,103,9.1,3.83,0,4.79
"68",73,26,128,3.47,3.85,0,8.09
"70",82,37,97,2.72,1.36,0.45,4.98
"71",82,32,109,6.04,1.21,0,6.85
"72",64,32,86,6.54,0.65,0,5.89
"73",56,26,131,8.34,0.49,0.49,4.42
"74",77,31,100,3.74,0.94,0.94,6.55
"75",60,33,100,3,3,0.6,9
"76",75,22,148,6.49,0.65,0,8.11
"77",80,39,200,6.75,0.9,0.45,7.65
"79",77,26,91,1.03,1.54,0.51,8.22
"82",55,29,71,11.06,0,0,2.77
"83",80,25,131,8.24,4.12,1.03,5.84
"85",77,28,118,3.57,3.57,1.19,3.96
"86",80,31,138,8.48,0.98,0.33,4.89
"87",82,29,114,2.31,1.93,1.16,3.08
"90",70,27,139,11.84,0,0,3.7
"91",81,30,120,1.85,1.48,0.74,6.67
"92",54,30,70,2.86,4.76,0,9.52
"99",63,23,111,2.57,2.57,0.51,6.18
"100",37,25,149,9.14,0,0,11.1
"104",82,39,152,2.89,1.16,1.73,4.91
"105",71,25,165,6.15,0.92,0.31,7.07
"110",51,25,158,11.17,1.79,0.45,4.02
"111",72,25,135,15.93,1.85,0,4.07
"112",78,26,161,8.89,0.29,0,8.6
"113",52,26,152,7.74,0.91,0,6.38
"115",62,28,143,3.65,0.81,0.41,8.12
"117",77,30,109,8.15,2.57,0,7.72
"119",32,25,135,10,0.83,0,3.33
"121",76,25,60,6.32,1.58,0,1.58
"126",82,26,176,4.74,0,0.5,7.48
"128",75,30,119,0.81,2.82,0,7.66
"132",79,25,78,5.26,1.75,0,5.26
"134",82,25,94,1.87,2.34,1.87,7.01
"137",52,30,155,9.83,0.45,0,8.49
"138",67,23,66,8.96,0,0,2.44
"143",82,26,103,7.67,1.7,0.85,5.11
"145",79,27,80,2.85,3.42,0.57,4.56
"146",79,25,88,9.84,3.62,0.52,4.66
"147",72,30,126,6.35,1.19,0,7.54
"148",69,34,74,6.35,0,0.71,8.46
"149",72,31,93,9.14,1.08,0,8.6
"150",71,32,157,3.88,1.61,0,5.81
"151",82,31,111,3.16,1.98,1.19,4.35
"154",45,22,79,8.1,3.04,0,3.04
"156",79,24,131,6.61,2.44,0,8.35
"157",64,24,114,0.99,1.48,0,6.41
"158",69,29,99,8.43,0,0.53,11.07
"159",55,31,149,6.15,4.39,1.76,6.59
"161",68,25,80,3.31,1.32,0,7.28
"162",82,36,130,4.73,2.7,1.35,7.09
"163",76,32,99,3.35,1.91,0.48,4.31
"164",70,36,106,7.28,2.43,0.49,4.37
"165",76,32,90,2.11,2.11,0.53,5.79
"166",56,28,97,5.3,2.65,1.33,5.96
"169",60,28,66,2.73,6.36,0.91,4.55
"170",82,22,106,5.8,2.9,0.41,4.97
"171",69,24,130,6.42,1.2,0,4.82
"173",56,25,156,4.53,1.65,0,7.01
"174",64,28,103,6.01,3.28,2.18,8.19
"181",72,31,112,7.14,1.34,0,6.25
"183",63,34,110,5.19,2.6,1.04,10.39
"185",47,29,63,1.22,0,0,4.86
"186",77,31,88,2.13,3.19,0.53,3.19
"187",45,33,110,11.64,2.18,0.73,8.73
"188",79,37,86,2.65,1.59,0,5.83
"189",82,33,107,3.28,1.23,0,6.15
"190",82,33,144,11.89,1.52,0.91,9.76
"191",74,32,164,10.98,0.59,0.3,7.71
"192",71,22,63,8.05,2.41,0.8,9.66
"193",78,28,89,2.07,3.11,1.04,7.78
"195",81,27,188,8.98,1.42,0,6.15
"196",82,31,140,8.47,1.88,0.31,5.33
"199",65,32,169,5.24,0.98,0.33,6.55
"200",77,32,137,11.94,0,0,7.51
"202",80,29,186,4.84,5.32,0.24,5.32
"204",47,23,70,4.38,2.19,2.19,5.47
"207",82,33,209,8.19,0.84,0,5.46
"210",58,31,179,7.63,0.35,0,10.4
"211",53,28,138,6.89,1.48,0,3.94
"212",76,26,163,12.21,0.29,0,6.39
"213",64,24,194,7.54,0.29,0,6.67
"214",72,29,121,9.5,1.24,0,4.55
"216",80,28,99,2.27,3.64,0.91,4.55
"217",81,35,166,4.82,1.34,0,6.96
"220",58,33,156,9.15,1.19,0,7.16
"222",72,26,136,8.46,1.84,0.37,5.88
"224",67,30,105,2.05,3.58,0.51,6.65
"225",64,29,79,2.85,1.42,0.71,6.41
"227",76,25,105,5.41,2.71,1.8,7.67
"230",78,25,120,5.77,1.54,0.38,6.54
"231",77,29,109,3,2.57,0,7.72
"233",68,35,134,8.69,1.98,0.79,4.35
"234",80,26,158,4.56,2.56,0.85,4.84
"236",62,27,125,10.22,0.93,0,3.25
"237",33,33,90,4.85,2.42,1.21,7.27
"238",81,29,172,5.17,1.29,0.78,7.49
"241",82,29,140,6.9,1.25,0,8.47
"243",59,38,97,3.77,1.26,1.26,3.77
"245",82,21,136,4.52,1.61,0,6.78
"246",64,37,94,3.59,2.99,2.39,8.98
"250",60,31,223,7.53,1.08,0,7.53
"256",81,25,117,3.42,2.28,0.38,4.56
"261",73,28,186,11.14,1.06,0.8,7.69
"262",60,29,173,9.36,0,0,7.28
"264",81,33,137,5.52,1.62,0.65,7.14
